shipsRemaining, shipsSunk, proportionShipsRemaining, minesRemaining, minesDetonated, proportionMinesRemaining
4, 6,0.40,14,6,0.70
6, 4,0.60,16,4,0.80
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
3, 7,0.30,13,7,0.65
4, 6,0.40,13,7,0.65
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,13,7,0.65
5, 5,0.50,15,5,0.75
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
5, 5,0.50,15,5,0.75
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
7, 3,0.70,17,3,0.85
4, 6,0.40,13,7,0.65
3, 7,0.30,13,7,0.65
4, 6,0.40,13,7,0.65
3, 7,0.30,13,7,0.65
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
3, 7,0.30,13,7,0.65
4, 6,0.40,14,6,0.70
2, 8,0.20,12,8,0.60
3, 7,0.30,12,8,0.60
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
5, 5,0.50,14,6,0.70
2, 8,0.20,12,8,0.60
5, 5,0.50,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
2, 8,0.20,12,8,0.60
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
6, 4,0.60,16,4,0.80
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
6, 4,0.60,16,4,0.80
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
6, 4,0.60,16,4,0.80
6, 4,0.60,16,4,0.80
3, 7,0.30,13,7,0.65
4, 6,0.40,13,7,0.65
5, 5,0.50,15,5,0.75
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
3, 7,0.30,13,7,0.65
3, 7,0.30,13,7,0.65
3, 7,0.30,13,7,0.65
4, 6,0.40,13,7,0.65
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
3, 7,0.30,13,7,0.65
3, 7,0.30,13,7,0.65
3, 7,0.30,13,7,0.65
5, 5,0.50,15,5,0.75
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
3, 7,0.30,13,7,0.65
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
2, 8,0.20,12,8,0.60
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
3, 7,0.30,13,7,0.65
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
2, 8,0.20,12,8,0.60
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
6, 4,0.60,16,4,0.80
5, 5,0.50,15,5,0.75
4, 6,0.40,14,6,0.70
